Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
00-Introduction.pdf;102242;"Prof.Dr. Jörg Hähner";"2018-10-22 20:45:42";00-Introduction.pdf;;/00-Introduction.pdf
"01-OC and P2P and Cloud.pdf";571437;"Prof.Dr. Jörg Hähner";"2018-10-22 21:10:54";"01-OC and P2P and Cloud.pdf";;/01-OC_and_P2P_and_Cloud.pdf
02-P2P-Overview.pdf;1745684;"Prof.Dr. Jörg Hähner";"2018-10-29 16:51:29";02-P2P-Overview.pdf;;/02-P2P-Overview.pdf
"03-Network Models.pdf";978267;"Prof.Dr. Jörg Hähner";"2018-11-05 18:53:39";"03-Network Models.pdf";;/03-Network_Models.pdf
04-StructuredP2P.pdf;492800;"Prof.Dr. Jörg Hähner";"2018-11-22 12:24:42";04-StructuredP2P.pdf;;/04-StructuredP2P.pdf
05-UnstructuredP2P.pdf;513567;"Prof.Dr. Jörg Hähner";"2018-12-03 14:45:31";05-UnstructuredP2P.pdf;;/05-UnstructuredP2P.pdf
07-CloudComputing_Basics.pdf;582161;"Prof.Dr. Jörg Hähner";"2019-01-15 11:21:48";07-CloudComputing_Basics.pdf;;/07-CloudComputing_Basics.pdf
08-CloudComputing_LoadBalancing.pdf;597230;"Prof.Dr. Jörg Hähner";"2019-01-21 14:02:23";08-CloudComputing_LoadBalancing.pdf;;/08-CloudComputing_LoadBalancing.pdf
Präsentationsfolien-Gastvortrag-makandra.pdf;777894;"Dominik Rauh";"2019-02-07 09:21:42";"Cloud Computing – Gastvorlesung makandra";;/Präsentationsfolien-Gastvortrag-makandra.pdf
