Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
seminar_ws1819.pdf;225635;"Alexander Stegmeier";"2018-10-19 12:27:49";"Folien der Einführungsveranstaltung";;/seminar_ws1819.pdf
Hinweise.pdf;376014;"Alexander Stegmeier";"2018-10-19 12:28:08";"Hinweise zur Ausarbeitung";;/Hinweise.pdf
themen_master.pdf;70385;"Alexander Stegmeier";"2018-10-16 13:46:29";Themenliste;;/themen_master.pdf
vorlage_vortrag.tar.gz;561048;"Alexander Stegmeier";"2018-10-19 12:28:43";"Vorlage für den Vortrag";;/vorlage_vortrag.tar.gz
vorlage_ausarbeitung.tar.gz;73618;"Alexander Stegmeier";"2018-10-19 12:28:26";"Vorlage für die Ausarbeitung";;/vorlage_ausarbeitung.tar.gz
